compound_ID,SMILES,enzyme_uniprot,enzyme,enzyme_type,rep1,rep2,both_less_05
BRD-K78206682,O=C1NC(=O)C=C1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.610697179,0.411738108,0
BRD-K01666924,CC(C)CCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@@H](C)O ,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.574241618,0.536371801,0
BRD-K20338176,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.976051091,0.541535698,0
BRD-A03757454,OC[C@H]1O[C@@H](C[C@H]1O)N1C=C(F)C(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.097387826,1.037342079,0
BRD-K76927775,[O-][N+](=O)c1ccc(o1)/C=N/N1CC(=O)NC1=O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.012864763,0.417570989,0
BRD-K28935038,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.038084405,0.426478568,0
BRD-K62607865,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(n2)N)C(=O)N1S(=O)(=O)O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.072246627,0.723843736,0
BRD-K34234316,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0,1.350128573,0
BRD-K15766189,Nc1nc(cs1)/C(=N/O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.427480614,0.549618321,0
BRD-K62328564; TRICLOSAN,Oc1cc(ccc1Oc1ccc(cc1Cl)Cl)Cl,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.998536456,1.078671785,0
BRD-A24252652,CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@]4(O[C@H]([C@@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,1.082405083,0.886281994,0
BRD-K00003347,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)Cl,"P0AES4, P0AES6","gyrA, gyrB",DNA gyrase,0.91311868,1.180412179,0
