Example,IUPAC,SMILES
1,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol tris-hydrochloride salt",Did not work
2,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
3,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
4,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5ccccn5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
5,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-5-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1nccc1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
6,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(3-methylpyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cc1cccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
7,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyrimidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5ncccn5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
8,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-3-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1ccc(COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)n1
9,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-4-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1cnc(COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)c1
10,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-((S)-1-methylpyrrolidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CN1CCC[C@H]1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
