,Example,Chemical Name
0,1,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
1,2,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-methylnaphthalen-l-yl)pyrido[4,3-d]pyrimidin-4-amine"
2,3,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-(trifluoromethyl)naphthalen-l-yl)pyrido[4,3-d]pyrimidin- 4-amine"
3,4,"4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)-4-(((l- morpholinocyclobutyl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol (racemic, trans)"
4,5,"4-(4-((3-azabicyclo[3.1.0]hexan-6-yl)amino)-8-fluoro-2-(((S)-l-methylpyrrolidin-2- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
5,6,"4-(4-(((l-(dimethylamino)cyclopropyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2- ol"
6,7,"4-(4-(((l-(dimethylamino)cyclopentyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
7,8,"4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)-4-(((3- methylazetidin-3-yl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
8,9,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-7-(2-isopropylphenyl)-2-((tetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
9,10,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(2-isopropylphenyl)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
