Unnamed: 0,Example,IUPAC,SMILES
1,1,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCC[C@@](C)(O)C7)c12
2,2,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCC[C@@](C)(O)C7)c12
3,3,"(R)-1-(7-(8-ethyl-7-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CCc1c(F)ccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCC[C@@](C)(O)C7)c12
4,4,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC(C)(O)C7)c12
5,5,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(pyridin-3-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4Nc7cccnc7)c12
6,6,"4-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCOCC(O)C7)c12
7,7,"1-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-4-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC(O)CC7)c12
8,8,"(5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)methanol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCn8nc(CO)cc8C7)c12
9,9,"4-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-(1H-pyrazol-1-yl)-1,4-oxazepane",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCOCC(C7)n8cccn8)c12
10,10,"5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCn8nc(N)cc8C7)c12
11,11,"(3aR,6aS)-5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7C[C@@H]8[C@H](C7)C(=O)NC8=O)c12
12,12,"7-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC8(C7)NC(=O)NC8=O)c12
13,13,"1-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-(hydroxymethyl)azepan-4-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCC(O)C(CO)CC7)c12
14,14,"7-(8-ethylnaphthalen-1-yl)-4-(3-(methylsulfonyl)azocan-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCCCC(C7)[S](C)(=O)=O)c12
15,15,"(R)-1-(7-(5,6-dimethyl-1H-indazol-4-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Cc1cc2[nH]ncc2c(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCC[C@@](C)(O)C7)c1C
16,16,"6-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC8(C7)CC(=O)N8)c12
17,17,"4-(4-(((2-aminopyridin-3-yl)methyl)amino)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-)yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",Did not work
18,18,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(N)cc8C7)c12
19,19,"4-(4-(3-(1H-1,2,4-triazol-5-yl)piperidin-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC(C7)c8[nH]ncn8)c12
