Index,Example,IUPAC,SMILES
1,1,"1-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",ClC=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1)F
2,2,"7-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",ClC=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(NC2)=O)CCC1)OCC12CCCN2CCC1)F
3,3,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,5-diazocan-2-one",FC1=C(N=CC2=C1N=C(N=C2N2CCC(NCCC2)=O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
4,4,"(S)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
5,5,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
6,6,"(3R,5S)-5-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-4-(piperidin-1- yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CCCCC1)OC[C@@H]1C[C@H](CN1C)O)F)O)F
7,7,"(2R,7aS)-7a-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-4-(piperidin-1- yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-2-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CCCCC1)OC[C@]12CCCN2C[C@@H](C1)O)F)O)F
8,8,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)azepan-4-ol",FC1=C(N=CC2=C1N=C(N=C2N2CCC(CCC2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
9,9,"[(3R,5S)-5-[[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-8-fluoro-4-[(3S)-3-hydroxy-3-methyl-1- piperidyl]pyrido[4,3-d]pyrimidin-2-yl]oxymethyl]-1-methyl-pyrrolidin-3-yl] N-methylcarbamate",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@@](CCC1)(C)O)OC[C@@H]1C[C@H](CN1C)OC(NC)=O)F)O)F
10,10,"(S)-1-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin- 3-ol",C(#C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
