index,Example,IUPAC,SMILES
1,1,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OCC12CCCN2CCC1)O)F
2,2,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)O)F
3,3,"(R)-1-(7-(8-ethyl-7-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OCC12CCCN2CCC1)F
4,4,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1
5,5,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(pyridin-3-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)NC=1C=NC=CC1)OCC12CCCN2CCC1
6,6,"4-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCOCC(C1)O)OCC12CCCN2CCC1
7,7,"1-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-4-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCC(CCC1)O)OCC12CCCN2CCC1
8,8,"(5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)methanol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)CO)OCC21CCCN1CCC2
9,9,"4-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-(1H-pyrazol-1-yl)-1,4-oxazepane",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCOCC(C1)N1N=CC=C1)OCC12CCCN2CCC1
10,10,"5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-amine",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)N)OCC21CCCN1CCC2
11,11,"(3aR,6aS)-5-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2[C@H](C1)C(NC2=O)=O)OCC21CCCN1CCC2
12,12,"7-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(C(NC(N2)=O)=O)CCC1)OCC12CCCN2CCC1
13,13,"1-(7-(8-ethylnaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-(hydroxymethyl)azepan-4-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCC(C(CC1)CO)O)OCC12CCCN2CCC1
14,14,"7-(8-ethylnaphthalen-1-yl)-4-(3-(methylsulfonyl)azocan-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC(CCCCC1)S(=O)(=O)C)OCC12CCCN2CCC1
15,15,"(R)-1-(7-(5,6-dimethyl-1H-indazol-4-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CC=1C(=C2C=NNC2=CC1C)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OCC12CCCN2CCC1
16,16,"6-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(CC(N2)=O)CCC1)OCC12CCCN2CCC1
17,17,"4-(4-(((2-aminopyridin-3-yl)methyl)amino)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-)yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",Did not work
18,18,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",NC1=NN2C(CN(CCC2)C=2C3=C(N=C(N2)OC[C@]24CCCN4C[C@@H](C2)F)CN(CC3)C3=CC(=CC2=CC=C(C(=C32)CC)F)O)=C1
19,19,"4-(4-(3-(1H-1,2,4-triazol-5-yl)piperidin-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1N=CN=C1C1CN(CCC1)C=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O
