ID,SMILES,Affinity,CNN_Pose_Score,CNN_Affinity
mrtx,C#Cc1c(F)ccc(c12)cc(O)cc2-c(nc3)c(F)c(c34)nc(nc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8,-11.67,0.7473,9.381
hop_1,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3csc(c34)c(nc([nH+]4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1csc(c12)cnc[nH+]2,-4.28,0.4276,6.573
hop_2,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(c[nH+]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from [nH+]1cc(C)n(c12)cccc2,-6.28,0.7264,9.243
hop_3,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)nc(c36)C[C@@H]([C@@H]([NH3+])C6)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1[C@H]([NH3+])CCc(c12)ncnc2,-3.05,0.5356,6.429
hop_4,C1[C@@H](F)CN(CCC2)[C@]12COc3nc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(cn6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from n1cc(C)n(c12)ccnc2,-6.8,0.7382,9.158
hop_5,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@H]3NC(=O)Oc(c34)c(c(N)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from C[C@@H]1NC(=O)Oc(c12)cc(N)cc2,-6.63,0.5259,6.768
hop_6,C1[C@@H](F)CN(CCC2)[C@]12COc(c3NC4=O)cc(N(C[C@H]56)C[C@H](N6)CC5)c(c3[C@@H]47)CC[C@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 2 from c12c3cccc2CCC[C@H]1C(=O)N3,-2.85,0.659,6.927
hop_7,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3o[nH+]c(c34)c(cc(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1o[nH+]c(c12)cccc2,-6.51,0.7377,9.059
hop_8,C1[C@@H](F)CN(CCC2)[C@]12COc(c3)cc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)OC(=O)[C@H]([C@@H]6[NH3+])c7cc(O)cc(c78)ccc(F)c8C#C St 2 from c1cccc(c12)OC(=O)C[C@H]2[NH3+],-4.81,0.494,6.492
hop_9,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3n(C)[nH+]c(c34)c(c(N)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1n(C)[nH+]c(c12)cc(N)cc2,-5.04,0.4637,6.873
hop_10,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3c(N)ncc(c34)c(c([NH3+])c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1c(N)ncc(c12)cc([NH3+])cc2,-5.22,0.4199,6.961
hop_11,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3C)n(c34)nc(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)n(c12)nccc2,-6.26,0.3704,6.819
hop_12,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(c[nH+]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1cc(C)n(c12)cccc2,-4.43,0.6081,8.954
hop_13,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3nnn(c34)c(cc(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1nnn(c12)cccc2,-6.53,0.7481,9.126
hop_14,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H]([C@@H]3[NH3+])[C@@H](C)Oc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from [NH3+][C@@H]1C[C@H](C)Oc(c12)cccc2,-3.87,0.5056,8.722
hop_15,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cn(C)c(c34)c([nH+]c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1cn(C)c(c12)c[nH+]cc2,-6.78,0.3466,6.696
hop_16,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)CNc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4C#N)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from N#Cc1cccc(c12)NCCC2,-5.35,0.5058,6.598
hop_17,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)oc(C#N)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1c(C#N)oc(c12)cccc2,-4.64,0.47,6.751
hop_18,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3n(C)[nH+]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c(N)c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1n(C)[nH+]c(c12)cc(N)cc2,-4.48,0.6803,9.123
hop_19,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)n(c36)CC[C@H](NC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1ncn(c12)CCCNC2,-4.67,0.4432,6.356
hop_20,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cnn(c34)c(c(C)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cnn(c12)cc(C)cc2,-6.2,0.7502,9.296
hop_21,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(C(=O)OC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1OC(=O)C(C)=CC1(C)C,-5.22,0.5244,6.23
hop_22,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)S[N@H+](C6=O)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1[NH2+]Sc(c12)cccc2,-7.55,0.5816,8.735
hop_23,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(cn6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from n1cc(C)n(c12)ccnc2,-4.22,0.4255,6.749
hop_24,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1nc(C)n(c12)cccc2,-4.9,0.4844,7.088
hop_25,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)c(C)c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)cc(C)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1c(C)cn(c12)cc(C)cn2,-0.92,0.5741,9.222
hop_26,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cc(C)[nH]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)[nH]c(c12)cccc2=O,-0.95,0.7255,9.147
hop_27,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)/C(=N\O)Nc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1C/C(=N\O)Nc(c12)cccc2,-0.78,0.5392,8.875
hop_28,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3NC4=O)N(C[C@H]56)C[C@H](N6)CC5)c(c3[C@H]47)CC[C@@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 1 from c12c3cccc2CCC[C@H]1C(=O)N3,0.31,0.6881,9.085
hop_29,C#Cc1c(F)ccc(c12)cc(O)cc2CC(NC(=O)N3)=C([C@H]34)C[C@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from CC=1NC(=O)N[C@@H](C12)CCCC2,-4.96,0.4647,6.699
hop_30,C1[C@@H](F)CN(CCC2)[C@]12COc(nc([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)[nH]nc6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1n[nH]c(c12)cnc[nH+]2,-7.59,0.682,9.031
hop_31,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 3 from N#Cc1nc(C)n(c12)cccc2,-3.42,0.6087,7.195
hop_32,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(no3)c(c34)cc(c(Cl)c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1noc(c12)cc(Cl)cc2,-3.74,0.5651,8.734
hop_33,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c[nH]3)c(c34)c(C#N)c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from N#Cc1cccc(c12)[nH]cc2C,-5.83,0.718,9.526
hop_34,C1[C@@H](F)CN(CCC2)[C@]12COc(c(C#CC)c3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)C[C@@H](CC6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC#Cc(c1)ccc(c12)CCCC2,-2.55,0.4082,6.441
hop_35,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(CCC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1CCC(C)=CC1(C)C,-4.95,0.604,6.854
hop_36,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)[nH+]c(c36)[C@H](O)C[C@H](CC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cc[nH+]c(c12)[C@H](O)CCCC2,-4.99,0.4175,6.529
hop_37,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)c(c(=O)[nH]3)NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=c1cc[nH+]c[nH]1,-9.31,0.7405,8.913
