ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_1,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cc(O)cc2ccccc12,97.7,124.7,3159.1,4.581901661402877,4.8259109328784495,8.058042459053727,-13.02696,-0.30852,0.88857,0.67296,7.76695,0.24027
us_4,Oc1cc(-c2ncc3c(nc(OCCc4ccccn4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,155.7,496.2,8530.0,5.047931143066026,6.206979091410864,9.051344641658057,-11.44827,-0.70802,1.01023,0.64864,7.78357,0.28483
us_5,Cn1nccc1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,294.8,722.9,8193.8,5.6862971942364835,6.5832709138394225,9.011133050925878,-7.58041,-1.00321,0.9165,0.48524,7.27469,0.59764
us_6,Cc1cccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,442.2,434.1,11518.2,6.091762291037547,6.073274945341714,9.35168367290977,-7.00049,-1.53471,4.55312,0.54943,6.14055,0.24137
us_7,Oc1cc(-c2ncc3c(nc(OCCc4ncccn4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,463.5,1867.3,,6.1388064065808825,7.53224882158036,,-13.12053,-0.93447,0.28536,0.71227,7.41938,0.03741
us_8,Cn1ccc(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,2143.7,1522.0,,7.6702885916919215,7.327780544991933,,-5.1159,-0.39902,1.06872,0.64502,7.69665,0.84884
us_9,Cn1cnc(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)c1,258.9,820.7,,5.556441925382442,6.710157646820386,,-12.63494,-0.51447,0.36643,0.67208,7.50818,0.22953
us_10,CN1CCC[C@H]1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,33.8,,8115.5,3.5204610983469173,,9.001531093577334,-13.08496,-0.74055,0.91037,0.67383,7.84466,0.23868
us_11,CCN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,4.9,,1078.2,1.5892372459308248,,6.983048272292285,-13.07759,-0.84049,1.26923,0.65758,7.81505,0.31905
us_12,Oc1cc(-c2ncc3c(nc(OC[C@@H]4CCCN4Cc4ccccc4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,11.0,,4905.2,2.3978961818888664,,8.498051147926523,-12.83263,-1.01576,0.81431,0.70068,7.89318,0.06064
us_13,CN(C)C(=O)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,510.7,,,6.235782353234565,,,-5.14192,-1.07043,1.07821,0.68384,7.78048,0.90722
us_14,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)c(Br)c2ccccc12,5.1,73.9,4843.5,1.6292425005126714,4.302712963272144,8.485392880931062,-12.3865,-0.80562,0.87553,0.69542,7.79558,0.15055
